Titulos,Dia,Mes,Año
Alistan boicot a la consulta,22,2,2019
Rechazan proyecto minero en Guerrero,22,2,2019
Valorarán dan?os por L-12,22,2,2019
Marchan en protesta por obra en Huexca,23,2,2019
Divide opiniones la obra en Huexca,24,2,2019
Preparan mas acciones contra la termoeléctrica,25,2,2019
Cuestionan rehabilitación a Ferrocarril de Cuernavaca,26,2,2019
Preparan resistencia opositores a proyecto,26,2,2019
Van otra vez a juicio por Colina del Perro,26,2,2019
Rechazan vecinos obras irregulares,27,2,2019
Piden anular actividad minera en Iztapalapa,2,3,2019
Prevén parar plebiscito a cervecera en BC,4,3,2019
Paran plebiscito sobre cervecera,5,3,2019
Exigen cumplir promesa con presa El Zapotillo,6,3,2019
Admiten un amparo contra tren Interurbano,8,3,2019
Cuestionan expertos planeacio?n del TEO,10,3,2019
Frenan amparo termoele?crtica,10,3,2019
Cancelan una torre de proyecto Mi?tikah,13,3,2019
Piden vecinos retirar ma?s torres a Mitikah,17,3,2019
Exigen derribo de Toledo Rooftop,30,3,2019
Llaman a revisar las termoeléctricas,1,4,2019
Pide Sansores demoler torre en Presa Anzaldo,2,4,2019
Quita Mitikah sueño a vecinos,5,4,2019
Crecen daños por L-12 tras reparación exprés,11,4,2019
Ubican en Hipódromo 54 obras irregulares,15,4,2019
Tala en Tarahumara,18,4,2019
Acusan despojo en playa nayarita,23,4,2019
Cuestionan en Oaxaca proyecto transístmico,28,4,2019
Denuncian extorsión en minera Peñasquito,30,4,2019
Acusan uso de ONGs para frenar proyectos,2,5,2019
Condenan la tala en Xoco; presume Mítikah permiso,6,5,2019
Denuncia senador a minera,7,5,2019
Mueren por derrumbe de mina en Chihuahua,7,5,2019
Denuncian opositores simulación en consultas,9,5,2019
Multarán tala con 25 mdp,10,5,2019
Prohibió la Semovi desnivel en Mítikah,10,5,2019
Suspenden ampliación de plaza en Masaryk,10,5,2019
Asesinan en Puebla a activista indígena,11,5,2019
Exigen pueblos ser consultados,11,5,2019
Carece Dos Bocas de permisos ambientales,16,5,2019
Se atora conflicto minero en Zacatecas,16,5,2019
Urgen a solucionar conflicto en mina,17,5,2019
Eleva Santa Lucía riesgo por agua-Cuestionan el aumento de casas sin servicios,20,5,2019
Crece oposición a MB5 en Tlalpan y Coyoacan,1,6,2019
Boicotean los vecinos pruebas,1,6,2019
Abren vecinos y embajada dialogo por obra,6,6,2019
Minimiza SCT amparo contra de Santa Lucia,6,6,2019
Liberan a opositores de presa La Parota,8,6,2019
Sugieren integrar comité ante riesgo ambiental,10,6,2019
Ven en riesgo 5 pesquerías,12,6,2019
Ahora frenan Santa Lucia por seguridad,13,6,2019
Demandan frenar a talamontes en Ocuilan,13,6,2019
Evade Mitikah multa de 40 mdp por tala,15,6,2019
Demandan no permitir prodcucción de cianuro,17,6,2019
Evalùan suspender trabajos en Mítikah,23,6,2019
Emite juez la quinta suspensión de obras,29,6,2019
Dan por hecho aval a Santa Lucía,12,7,2019
Descartan que ácido afecte ecosistemas,17,7,2019
Protesta en San Lázaro,19,7,2019
Reducen ruta del Tren Maya,19,7,2019
Podrían castigar a minera por derrame en Sonora,20,7,2019
Litigan para reabrir el caso río Sonora,4,8,2019
Acusan omisiones ante daño minero,5,8,2019
Persisten metales en río Sonora,7,8,2019
"Descartan demoler ""El Zapotillo""",13,8,2019
Otorgan nuevo revés a obra  en Sta. Lucía,6,9,2019
Inicia Cablebús obras sin completar predios,13,9,2019
Demandan derechos en Deportivo Tezonco,17,10,2019
Demandan liberar mina Peñasquito,27,10,2019
Advierten riesgo laboral en Peñasquito,28,10,2019
Hacen propuestas sobre MB Línea 3,28,10,2019
Asedian desalojos al CH,3,11,2019
Articulan oposición a plan Transístmico,4,11,2019
Rechazan la consulta para ampliar el MB-3,11,11,2019
Acusan simulación en consulta sobre Tren,18,11,2019
Peligran 3 casonas de la Colonia Roma,18,11,2019
Buscan destrabar bloqueo al Tren Interurbano,24,11,2019
Pegan amparos al aeropuerto de Santa Lucía,30,11,2019
